"fecha datos","cups","tarifa","fecha alta contrato","fecha fin ctto","fecha modificacion contrato","codigo comer","potencia contratada","nombre","pot P1","pot P2","pot P3","pot P4","pot P5","pot P6","tipo de punto","cod tipo de suministro","Tipo de suministro","sistema origen"
"2025-03-29","ES0022000008799667LS1P","X6E","2024-05-27","2025-03-26",,"0688","95240"," OLAF Y RUBI S.L. ","80.410","95.240","95.240","95.240","95.240","95.240","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008799667LS1P","X6E","2025-03-26",,,"0927","95240",,"80.410","95.240","95.240","95.240","95.240","95.240","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008769476HT1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000008768918QV1P","X6E","2025-02-24",,,"0918","125000",,"81.000","81.000","81.000","81.000","81.000","125.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008768918QV1P","X6E","2022-10-31","2025-02-24",,"0522","125000"," POUSADA VILAVELLA S.L. ","81.000","81.000","81.000","81.000","81.000","125.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008733496VS1P","X6E","2025-03-26",,,"0985","75000"," FASHION EL PULPO SLU ","50.000","50.000","50.000","50.000","50.000","75.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008733496VS1P","X6E","2025-03-16","2025-03-26",,"0688","75000"," FASHION EL PULPO SLU ","50.000","50.000","50.000","50.000","50.000","75.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008691112ZC1P","X6E","2024-03-26","2025-03-27",,"0389","100000",,"83.000","83.000","83.000","83.000","83.000","100.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008691112ZC1P","X6E","2025-03-27",,,"0817","100000",,"83.000","83.000","83.000","83.000","83.000","100.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008530743BF1P","X6E","2025-03-04",,,"1628","146000",,"146.000","146.000","146.000","146.000","146.000","146.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008530743BF1P","X6E","2025-02-10","2025-03-04",,"0389","146000",,"146.000","146.000","146.000","146.000","146.000","146.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008416387FF1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000008416387FF1P","Y3D","2025-02-01",,,"0869","55000",,"1.000","1.000","1.000","52.000","52.000","55.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008294571TE1P","X6E","2023-12-31","2025-03-31",,"0099","451000",,"211.000","225.000","235.000","235.000","235.000","451.000","2","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008294571TE1P","X6E","2025-03-31",,,"0499","451000",,"211.000","225.000","235.000","235.000","235.000","451.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008213653RH1P","X6E","2023-10-05","2025-03-31",,"0091","218000",,"160.000","167.600","167.600","167.600","167.600","218.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008213653RH1P","X6E","2025-03-31",,,"1491","218000",,"160.000","167.600","167.600","167.600","167.600","218.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008157492KT1P","Y3D","2022-10-16","2025-03-26","2024-08-17","0410","80000",,"80.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008157492KT1P","Y3D","2025-03-26",,,"0918","80000",,"80.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008143599ZE1P","X6E","2025-03-28",,,"0091","443392",,"443.392","443.392","443.392","443.392","443.392","443.392","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008143599ZE1P","X6E","2022-08-12","2025-03-28",,"0091","443392",,"443.392","443.392","443.392","443.392","443.392","443.392","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007980119ZA1P","X6E","2025-03-27",,,"1183","750000"," TELSON SERVICIOS AUDIOVISUALES, S.L.U","415.000","415.000","415.000","415.000","415.000","750.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007980119ZA1P","X6E","2024-07-09","2025-03-27",,"1729","750000"," TELSON SERVICIOS AUDIOVISUALES, S.L.U","415.000","415.000","415.000","415.000","415.000","750.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007934509DW1P","X6E","2024-08-22","2025-03-28",,"0417","129000"," BRIGAL, S.A. ","129.000","129.000","129.000","129.000","129.000","129.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007934509DW1P","X6E","2025-03-28",,,"1446","129000"," BRIGAL, S.A. ","129.000","129.000","129.000","129.000","129.000","129.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007875756FZ1P","X6E","2025-03-27",,,"1183","470000"," TELSON SERVICIOS AUDIOVISUALES, S.L.U","266.000","280.000","280.000","280.000","280.000","470.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007875756FZ1P","X6E","2024-07-09","2025-03-27",,"1729","470000"," TELSON SERVICIOS AUDIOVISUALES, S.L.U","266.000","280.000","280.000","280.000","280.000","470.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007789323KS1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000007789323KS1P","Y3D","2025-02-01",,,"1024","95000",,"60.000","60.000","60.000","60.000","60.000","95.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007607405RG1P","X6E","2024-04-25",,"2025-03-26","0869","70000",,"70.000","70.000","70.000","70.000","70.000","70.000","3","23","CLAUT NEX IND INT A ","SGC"
"2025-04-05","ES0022000007595216TM1P","X61","2018-09-30","2018-09-30",,"0725","451000"," PIZARRAS PARAMO S.L. ","230.000","230.000","230.000","230.000","230.000","451.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007595216TM1P","X61","2018-09-30","2018-09-30",,"0725","451000"," PIZARRAS PARAMO S.L. ","230.000","230.000","230.000","230.000","230.000","451.000","2","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007580473AM1P","X6E","2025-03-27",,,"0417","451000"," COMPOSITES GUIMAR,S.L. ","450.000","450.000","450.000","450.000","450.000","451.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007580473AM1P","X6E","2018-04-30","2025-03-27","2021-05-31","0522","451000"," COMPOSITES GUIMAR,S.L. ","450.000","450.000","450.000","450.000","450.000","451.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007516625XM1P","Y3D","2022-04-01",,"2025-03-12","0927","60000"," VEGO SUPERMERCADOS SAU ","3.400","3.400","3.400","3.400","3.400","15.010","3",,,"SGC"
"2025-04-05","ES0022000007226446CV1P","Y3D","2025-02-01",,,"0927","160000"," VEGO SUPERMERCADOS SAU ","160.000","160.000","160.000","160.000","160.000","160.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007226446CV1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-03-29","ES0022000007096010FZ1P","Y3D","2023-01-02","2025-03-28",,"0864","82500",,"82.500","82.500","82.500","82.500","82.500","82.500","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007096010FZ1P","Y3D","2025-03-28",,,"0985","82500",,"82.500","82.500","82.500","82.500","82.500","82.500","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007015375CV1P","Y3D","2025-02-01",,,"0850","80000"," PUNT ROMA, S.L. ","53.000","58.000","58.810","58.810","58.810","80.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007015375CV1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-03-29","ES0022000006652686YS1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-03-29","ES0022000005731730PW1P","X6E","2019-12-31","2025-03-27","2023-10-21","0099","376000"," TELEFONICA, S.A. ","273.000","273.000","273.000","273.000","273.000","376.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000005731730PW1P","X6E","2025-03-27",,,"0918","376000",,"273.000","273.000","273.000","273.000","273.000","376.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000005430040RA1P","X6E","2020-10-31","2025-03-31","2021-05-31","1491","80000",,"80.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000005430040RA1P","X6E","2020-10-31","2025-03-31","2021-05-31","1491","80000",,"80.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000005429404LB1P","X6E","2024-04-23","2025-03-26",,"1027","58000",,"35.000","37.000","37.000","37.000","37.000","58.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000005429404LB1P","X6E","2025-03-26",,,"0091","58000",,"35.000","37.000","37.000","37.000","37.000","58.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000005429399LY1P","X6F","2013-10-01",,,,"100000",,"0.000","0.000","0.000","0.000","0.000","0.000","1","92","COGENERADOR TODO-TOD","SGC"
"2025-04-05","ES0022000005429399LY1P","X6F","2013-10-01",,,,"100000",,"0.000","0.000","0.000","0.000","0.000","0.000","1","92","COGENERADOR TODO-TOD","SGC"
"2025-03-29","ES0022000005429220BB1P","X6E","2023-12-31","2025-03-31",,"1232","80000","S.L INVER.PARTI. LA CARTUJA","80.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000005429220BB1P","X6E","2023-12-31","2025-03-31",,"1232","80000","S.L INVER.PARTI. LA CARTUJA","80.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000005429218BD1P","X6E","2024-03-15","2025-03-31",,"0091","80000",,"3.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000005429218BD1P","X6E","2024-03-15","2025-03-31",,"0091","80000",,"3.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000005429073MW1P","X6E","2024-03-12","2025-03-31",,"1000","85000",,"5.000","85.000","85.000","85.000","85.000","85.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000005429073MW1P","X6E","2024-03-12","2025-03-31",,"1000","85000",,"5.000","85.000","85.000","85.000","85.000","85.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000005428928KH1P","X6E","2025-03-28",,,"1305","430000",,"5.000","172.000","172.000","172.000","305.000","430.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000005428928KH1P","X6E","2024-02-06","2025-03-28",,"1749","430000",,"5.000","172.000","172.000","172.000","305.000","430.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000005428298VD1P","X6E","2024-03-08","2025-03-31",,"0770","60000"," S.A.T    N.882 ","60.000","60.000","60.000","60.000","60.000","60.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000005428298VD1P","X6E","2024-03-08","2025-03-31",,"0770","60000"," S.A.T    N.882 ","60.000","60.000","60.000","60.000","60.000","60.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000005427926RM1P","X6E","2021-12-17","2025-03-26",,"0602","60000",,"1.000","36.000","36.000","36.000","36.000","60.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000005427926RM1P","X6E","2021-12-17","2025-03-26",,"0602","60000",,"1.000","36.000","36.000","36.000","36.000","60.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000005261844WY1P","X6E","2023-10-13","2025-03-31",,"0860","80000",,"30.000","30.000","30.000","30.000","30.000","80.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000005261844WY1P","X6E","2023-10-13","2025-03-31",,"0860","80000",,"30.000","30.000","30.000","30.000","30.000","80.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000005235059XQ1P","X6E","2023-08-31","2025-03-31",,"0860","51000",,"41.000","45.000","45.000","45.000","45.000","51.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000005235059XQ1P","X6E","2023-08-31","2025-03-31",,"0860","51000",,"41.000","45.000","45.000","45.000","45.000","51.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000004991022AD1P","X6F","2009-02-01","2025-02-28","2024-02-07","0410","31947000"," ENCE ENERGIA Y CELULOSA, SA ","22004.000","22004.000","22004.000","22004.000","22004.000","31947.000","1","01",,"SGC"
"2025-04-05","ES0022000004991022AD1P","X6F","2025-03-01",,,,"31947000"," ENCE ENERGIA Y CELULOSA, SA ","22004.000","22004.000","22004.000","22004.000","22004.000","31947.000","1","01",,"SGC"
"2025-04-05","ES0022000004986607HX1P","X6E","2025-03-31",,,"0850","80000"," EPAGAL,S.A. ","80.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000004986607HX1P","X6E","2025-01-03","2025-03-31",,"1729","80000"," EPAGAL,S.A. ","80.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000004986431XH1P","X6E","2025-03-28",,,"0499","110000",,"110.000","110.000","110.000","110.000","110.000","110.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000004986431XH1P","X6E","2020-07-03","2025-03-28","2021-05-31","0099","110000",,"110.000","110.000","110.000","110.000","110.000","110.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000004981376KT1P","X6E","2022-02-28","2025-03-11","2024-05-25","0099","80000"," COREN ","80.000","80.000","80.000","80.000","80.000","80.000","3","19","ANTENAS/REPETIDORES ","SGC"
"2025-03-29","ES0022000004981376KT1P","X6E","2022-02-28","2025-03-11","2024-05-25","0099","80000"," COREN ","80.000","80.000","80.000","80.000","80.000","80.000","3","19","ANTENAS/REPETIDORES ","SGC"
"2025-03-29","ES0022000004973948CR1P","Y3D","2022-06-01","2025-03-31",,"1348","105600",,"75.000","90.000","90.000","90.000","90.000","105.600","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000004973948CR1P","Y3D","2025-03-31",,,"1232","105600",,"75.000","90.000","90.000","90.000","90.000","105.600","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000001526213DN1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000001526213DN1P","Y3D","2025-04-02",,,"0927","101000",,"101.000","101.000","101.000","101.000","101.000","101.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000001463623WM1P","Y3D","2025-03-15",,,"0927","99760",,"99.760","99.760","99.760","99.760","99.760","99.760","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000001463623WM1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000001353101AK1P","Y3D","2025-01-30",,,"0091","110000"," ALDI PINTO SUPERMERCADOS S.L ","110.000","110.000","110.000","110.000","110.000","110.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000001353101AK1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-03-29","ES0022000001302025ZM1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000001302025ZM1P","Y3D","2025-02-01",,,"0869","140000",,"55.000","55.000","55.000","55.000","55.000","140.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000001266755KV1P","Y3D","2025-02-17","2025-03-31",,"1729","60000",,"60.000","60.000","60.000","60.000","60.000","60.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000001266755KV1P","Y3D","2025-03-31",,,"1512","60000",,"60.000","60.000","60.000","60.000","60.000","60.000","3","11","NORMAL              ","SGC"
